forecaster_id,target_year,forecast_year,forecast_quarter,ens_fc
1,2001,2001,1,2.7
2,2001,2001,1,2.5
3,2001,2001,1,2.9
4,2001,2001,1,2.7
5,2001,2001,1,2.7
7,2001,2001,1,2.5
9,2001,2001,1,2.5
10,2001,2001,1,2.8
11,2001,2001,1,3
14,2001,2001,1,2.6
15,2001,2001,1,2.8
16,2001,2001,1,2.7
17,2001,2001,1,2.8
18,2001,2001,1,2.8
19,2001,2001,1,2.8
20,2001,2001,1,2.7
22,2001,2001,1,2.5
23,2001,2001,1,2.8
24,2001,2001,1,2.7
26,2001,2001,1,2.8
29,2001,2001,1,2.8
30,2001,2001,1,2.7
31,2001,2001,1,2.9
32,2001,2001,1,2.6
33,2001,2001,1,2.5
34,2001,2001,1,2.7
35,2001,2001,1,3.1
36,2001,2001,1,3
37,2001,2001,1,2.9
38,2001,2001,1,2.8
39,2001,2001,1,2.7
41,2001,2001,1,3
42,2001,2001,1,2.6
45,2001,2001,1,2.1
48,2001,2001,1,2.8
49,2001,2001,1,2.6
50,2001,2001,1,3
53,2001,2001,1,3
54,2001,2001,1,2.7
55,2001,2001,1,2.5
56,2001,2001,1,2.9
57,2001,2001,1,3
59,2001,2001,1,2.4
61,2001,2001,1,2.6
63,2001,2001,1,2.6
64,2001,2001,1,3
67,2001,2001,1,2.8
68,2001,2001,1,2.9
70,2001,2001,1,2.9
73,2001,2001,1,2.4
82,2001,2001,1,2.5
85,2001,2001,1,2.5
87,2001,2001,1,2.8
89,2001,2001,1,2.9
90,2001,2001,1,3
91,2001,2001,1,3
92,2001,2001,1,2.73
93,2001,2001,1,2.8
94,2001,2001,1,2.2
95,2001,2001,1,2.7
96,2001,2001,1,2.3
1,2002,2001,1,2.7
2,2002,2001,1,2.3
3,2002,2001,1,2.5
4,2002,2001,1,3.1
5,2002,2001,1,2.7
7,2002,2001,1,2.6
9,2002,2001,1,2.8
10,2002,2001,1,3.2
11,2002,2001,1,3.3
14,2002,2001,1,2.7
15,2002,2001,1,2.5
16,2002,2001,1,3
17,2002,2001,1,3.2
18,2002,2001,1,3.3
19,2002,2001,1,3
20,2002,2001,1,3
22,2002,2001,1,2.6
23,2002,2001,1,2.5
24,2002,2001,1,3
26,2002,2001,1,2.9
29,2002,2001,1,2.7
30,2002,2001,1,2.8
31,2002,2001,1,2.6
32,2002,2001,1,2.5
33,2002,2001,1,2.8
34,2002,2001,1,2.7
36,2002,2001,1,2.8
37,2002,2001,1,3
